,city,date,variable,value
105,boston,2020-10-01,Total POI dwell time,73.84921763869133
106,boston,2020-11-01,Total POI dwell time,67.39687055476529
107,boston,2020-12-01,Total POI dwell time,69.30867709815078
108,boston,2021-01-01,Total POI dwell time,67.39687055476529
109,boston,2021-02-01,Total POI dwell time,72.21052631578948
110,boston,2021-03-01,Total POI dwell time,82.75960170697013
111,boston,2021-04-01,Total POI dwell time,81.83783783783784
112,boston,2021-05-01,Total POI dwell time,82.3157894736842
113,boston,2021-06-01,Total POI dwell time,92.48933143669984
114,boston,2021-07-01,Total POI dwell time,96.55192034139402
115,boston,2021-08-01,Total POI dwell time,94.7425320056899
116,boston,2021-09-01,Total POI dwell time,104.36984352773825
117,boston,2021-10-01,Total POI dwell time,104.50640113798008
118,boston,2021-11-01,Total POI dwell time,93.24039829302987
119,boston,2021-12-01,Total POI dwell time,96.38122332859174
120,seattle,2020-01-01,Total POI dwell time,94.85224022878933
121,seattle,2020-02-01,Total POI dwell time,105.14775977121069
122,seattle,2020-03-01,Total POI dwell time,69.36367969494756
123,seattle,2020-04-01,Total POI dwell time,49.916587225929455
124,seattle,2020-05-01,Total POI dwell time,51.41801715919924
125,seattle,2020-06-01,Total POI dwell time,67.82650142993327
126,seattle,2020-07-01,Total POI dwell time,75.1906577693041
127,seattle,2020-08-01,Total POI dwell time,73.72497616777883
128,seattle,2020-09-01,Total POI dwell time,71.83031458531936
129,seattle,2020-10-01,Total POI dwell time,69.256434699714
130,seattle,2020-11-01,Total POI dwell time,64.60915157292659
131,seattle,2020-12-01,Total POI dwell time,65.89609151572927
132,seattle,2021-01-01,Total POI dwell time,63.92993326978074
133,seattle,2021-02-01,Total POI dwell time,73.04575786463299
134,seattle,2021-03-01,Total POI dwell time,78.05052430886559
135,seattle,2021-04-01,Total POI dwell time,79.2302192564347
136,seattle,2021-05-01,Total POI dwell time,75.65538608198284
137,seattle,2021-06-01,Total POI dwell time,87.91706387035272
138,seattle,2021-07-01,Total POI dwell time,95.24547187797904
139,seattle,2021-08-01,Total POI dwell time,93.27931363203051
140,seattle,2021-09-01,Total POI dwell time,98.21258341277408
141,seattle,2021-10-01,Total POI dwell time,96.28217349857007
142,seattle,2021-11-01,Total POI dwell time,89.9904671115348
143,seattle,2021-12-01,Total POI dwell time,89.59723546234508
144,la,2020-01-01,Total POI dwell time,97.6483365995325
145,la,2020-02-01,Total POI dwell time,102.35166340046749
146,la,2020-03-01,Total POI dwell time,77.8150308124572
147,la,2020-04-01,Total POI dwell time,56.990059736028144
148,la,2020-05-01,Total POI dwell time,57.38672585176965
149,la,2020-06-01,Total POI dwell time,73.31003706939296
150,la,2020-07-01,Total POI dwell time,77.8150308124572
151,la,2020-08-01,Total POI dwell time,73.87670294902368
152,la,2020-09-01,Total POI dwell time,72.14837201614998
153,la,2020-10-01,Total POI dwell time,74.64170188652515
154,la,2020-11-01,Total POI dwell time,69.91004179160862
155,la,2020-12-01,Total POI dwell time,68.06837768280877
156,la,2021-01-01,Total POI dwell time,66.00004722215664
157,la,2021-02-01,Total POI dwell time,72.26170519207612
158,la,2021-03-01,Total POI dwell time,82.37669114348452
159,la,2021-04-01,Total POI dwell time,86.14501924302883
160,la,2021-05-01,Total POI dwell time,81.38502585413075
161,la,2021-06-01,Total POI dwell time,96.03333884258494
162,la,2021-07-01,Total POI dwell time,101.30333152315066
163,la,2021-08-01,Total POI dwell time,99.51833400231388
164,la,2021-09-01,Total POI dwell time,103.88166127547045
165,la,2021-10-01,Total POI dwell time,102.77666281019053
166,la,2021-11-01,Total POI dwell time,93.71000873609897
167,la,2021-12-01,Total POI dwell time,95.86333907869572
168,dallas,2020-01-01,Total POI dwell time,97.78999450247387
169,dallas,2020-02-01,Total POI dwell time,102.21000549752611
170,dallas,2020-03-01,Total POI dwell time,75.29411764705883
171,dallas,2020-04-01,Total POI dwell time,48.67509620670698
172,dallas,2020-05-01,Total POI dwell time,58.80153930731171
173,dallas,2020-06-01,Total POI dwell time,79.35129191863662
174,dallas,2020-07-01,Total POI dwell time,80.86860912589334
175,dallas,2020-08-01,Total POI dwell time,75.68993952721276
176,dallas,2020-09-01,Total POI dwell time,78.55964815832876
177,dallas,2020-10-01,Total POI dwell time,81.36338647608576
178,dallas,2020-11-01,Total POI dwell time,74.46948873007148
179,dallas,2020-12-01,Total POI dwell time,76.51456844420011
180,dallas,2021-01-01,Total POI dwell time,75.85486531061022
181,dallas,2021-02-01,Total POI dwell time,69.05992303463441
182,dallas,2021-03-01,Total POI dwell time,91.58878504672896
183,dallas,2021-04-01,Total POI dwell time,90.76415612974161
184,dallas,2021-05-01,Total POI dwell time,85.35459043430457
185,dallas,2021-06-01,Total POI dwell time,96.89939527212753
186,dallas,2021-07-01,Total POI dwell time,100.29686641011544
187,dallas,2021-08-01,Total POI dwell time,99.24134139637162
188,dallas,2021-09-01,Total POI dwell time,101.71522814733369
189,dallas,2021-10-01,Total POI dwell time,101.94612424409016
190,dallas,2021-11-01,Total POI dwell time,94.59043430456293
191,dallas,2021-12-01,Total POI dwell time,94.95327102803738
192,boston,2020-01-01,Dwell time per visit,100.34954984586498
193,boston,2020-02-01,Dwell time per visit,99.65045015413502
194,boston,2020-03-01,Dwell time per visit,94.11575348905149
195,boston,2020-04-01,Dwell time per visit,82.48083601427578
196,boston,2020-05-01,Dwell time per visit,81.32295200044948
197,boston,2020-06-01,Dwell time per visit,87.64574585034804
198,boston,2020-07-01,Dwell time per visit,90.97060648063777
199,boston,2020-08-01,Dwell time per visit,92.60019864635869
200,boston,2020-09-01,Dwell time per visit,91.09430091413333
201,boston,2020-10-01,Dwell time per visit,91.08466722512192
202,boston,2020-11-01,Dwell time per visit,90.7394552388379
203,boston,2020-12-01,Dwell time per visit,89.36194113962026
204,boston,2021-01-01,Dwell time per visit,90.2135495482572
205,boston,2021-02-01,Dwell time per visit,91.94329053979168
206,boston,2021-03-01,Dwell time per visit,92.53835870313884
207,boston,2021-04-01,Dwell time per visit,92.73131485370737
208,boston,2021-05-01,Dwell time per visit,94.22853720238211
209,boston,2021-06-01,Dwell time per visit,97.03064324330958
210,boston,2021-07-01,Dwell time per visit,97.08261416455169
211,boston,2021-08-01,Dwell time per visit,97.03553382596304
212,boston,2021-09-01,Dwell time per visit,99.3944321361108
213,boston,2021-10-01,Dwell time per visit,97.87864951797897
214,boston,2021-11-01,Dwell time per visit,98.92568751458002
215,boston,2021-12-01,Dwell time per visit,100.1579248743195
216,seattle,2020-01-01,Dwell time per visit,99.8045454689998
217,seattle,2020-02-01,Dwell time per visit,100.1954545310002
218,seattle,2020-03-01,Dwell time per visit,93.29535887625936
219,seattle,2020-04-01,Dwell time per visit,80.91997007699426
220,seattle,2020-05-01,Dwell time per visit,81.71272848163309
221,seattle,2020-06-01,Dwell time per visit,88.25402242584305
222,seattle,2020-07-01,Dwell time per visit,89.1421736417767
223,seattle,2020-08-01,Dwell time per visit,89.88888789462737
224,seattle,2020-09-01,Dwell time per visit,90.25517605741172
225,seattle,2020-10-01,Dwell time per visit,88.59075781534455
226,seattle,2020-11-01,Dwell time per visit,89.31822466265173
227,seattle,2020-12-01,Dwell time per visit,87.176209721957
228,seattle,2021-01-01,Dwell time per visit,87.95873677165174
229,seattle,2021-02-01,Dwell time per visit,91.59338167166992
230,seattle,2021-03-01,Dwell time per visit,91.81990558291993
231,seattle,2021-04-01,Dwell time per visit,90.80390245601166
232,seattle,2021-05-01,Dwell time per visit,92.314096245034
233,seattle,2021-06-01,Dwell time per visit,95.34352147728153
234,seattle,2021-07-01,Dwell time per visit,95.96776496611973
235,seattle,2021-08-01,Dwell time per visit,96.2298604766444
236,seattle,2021-09-01,Dwell time per visit,97.97737244079465
237,seattle,2021-10-01,Dwell time per visit,97.24493613955369
238,seattle,2021-11-01,Dwell time per visit,99.0924837671031
239,seattle,2021-12-01,Dwell time per visit,98.11105806299342
240,la,2020-01-01,Dwell time per visit,100.35854077854844
241,la,2020-02-01,Dwell time per visit,99.64145922145154
242,la,2020-03-01,Dwell time per visit,96.46076414365483
243,la,2020-04-01,Dwell time per visit,88.07350773134176
244,la,2020-05-01,Dwell time per visit,86.0138222517239
245,la,2020-06-01,Dwell time per visit,91.19677475118789
246,la,2020-07-01,Dwell time per visit,91.16143919756195
247,la,2020-08-01,Dwell time per visit,92.44132142044846
248,la,2020-09-01,Dwell time per visit,92.50773615605863
249,la,2020-10-01,Dwell time per visit,93.16161781790211
250,la,2020-11-01,Dwell time per visit,93.46549519843653
251,la,2020-12-01,Dwell time per visit,91.2462254906722
252,la,2021-01-01,Dwell time per visit,91.01546363862572
