,city,date,variable,value
95,dallas,2021-12-01,poi_placeseg,-7.9075751368590685
96,boston,2020-01-01,uid_indivseg,1.197534606938299
97,boston,2020-02-01,uid_indivseg,-0.8950744490072114
98,boston,2020-03-01,uid_indivseg,-6.158421380971221
99,boston,2020-04-01,uid_indivseg,-11.838561976038713
100,boston,2020-05-01,uid_indivseg,-8.631637697522665
101,boston,2020-06-01,uid_indivseg,-6.7021223034574575
102,boston,2020-07-01,uid_indivseg,-5.700534764634514
103,boston,2020-08-01,uid_indivseg,-4.929862490944183
104,boston,2020-09-01,uid_indivseg,-4.738079866427896
105,boston,2020-10-01,uid_indivseg,-5.507114122121337
106,boston,2020-11-01,uid_indivseg,-6.869840525982158
107,boston,2020-12-01,uid_indivseg,-6.959496692131752
108,boston,2021-01-01,uid_indivseg,-5.765262339031252
109,boston,2021-02-01,uid_indivseg,-5.584310470340329
110,boston,2021-03-01,uid_indivseg,-4.787235011592641
111,boston,2021-04-01,uid_indivseg,-4.19400728522216
112,boston,2021-05-01,uid_indivseg,-4.0183675471251155
113,boston,2021-06-01,uid_indivseg,-3.3407874124279284
114,boston,2021-07-01,uid_indivseg,-2.580218816351307
115,boston,2021-08-01,uid_indivseg,-3.1876924586979634
116,boston,2021-09-01,uid_indivseg,-2.9739996783284033
117,boston,2021-10-01,uid_indivseg,-3.1814778349806856
118,boston,2021-11-01,uid_indivseg,-3.5626299792375202
119,boston,2021-12-01,uid_indivseg,-3.686348151515907
120,seattle,2020-01-01,uid_indivseg,0.7539535811594192
121,seattle,2020-02-01,uid_indivseg,-1.225201796295453
122,seattle,2020-03-01,uid_indivseg,-6.492413247865704
123,seattle,2020-04-01,uid_indivseg,-9.649291335995004
124,seattle,2020-05-01,uid_indivseg,-6.909178387514935
125,seattle,2020-06-01,uid_indivseg,-5.822461779508821
126,seattle,2020-07-01,uid_indivseg,-5.553499131921034
127,seattle,2020-08-01,uid_indivseg,-4.992873778794626
128,seattle,2020-09-01,uid_indivseg,-4.330918960429442
129,seattle,2020-10-01,uid_indivseg,-5.242243453517358
130,seattle,2020-11-01,uid_indivseg,-7.225548510536496
131,seattle,2020-12-01,uid_indivseg,-7.722663639907795
132,seattle,2021-01-01,uid_indivseg,-6.431953661359357
133,seattle,2021-02-01,uid_indivseg,-5.574272291703975
134,seattle,2021-03-01,uid_indivseg,-4.816874193372629
135,seattle,2021-04-01,uid_indivseg,-4.347792336118656
136,seattle,2021-05-01,uid_indivseg,-4.381396002631088
137,seattle,2021-06-01,uid_indivseg,-3.6124922394771892
138,seattle,2021-07-01,uid_indivseg,-3.0056025468759953
139,seattle,2021-08-01,uid_indivseg,-3.241516789061439
140,seattle,2021-09-01,uid_indivseg,-2.7638981835896295
141,seattle,2021-10-01,uid_indivseg,-3.585016101142832
142,seattle,2021-11-01,uid_indivseg,-3.909197623857816
