,date,name,v,y,val,lower,upper
0,2020-04-01,"% Public
transport",0.0,0.0,-0.0034104507662403665,-0.00504403775970721,-0.0017768637727735236
1,2020-04-01,% Age 25-64,1.0,1.0,-0.00221327328775876,-0.003944663814283267,-0.00048188276123425303
2,2020-04-01,"% Black
race",2.0,2.0,0.0012353485194335383,-0.0007899430529240243,0.003260640091791101
3,2020-04-01,"Population
density",3.0,3.0,-0.0009389594705702905,-0.002910008007681192,0.0010320890665406113
4,2020-04-01,"Radius of
Gyration",4.0,4.0,-0.0038300088158065623,-0.005846971826829315,-0.0018130458047838091
5,2020-05-01,"% Public
transport",0.0,0.2,-0.00368778643779207,-0.005153323838238395,-0.002222249037345745
6,2020-05-01,% Age 25-64,1.0,1.2,-0.0022369445509322987,-0.0037902242853743214,-0.0006836648164902761
7,2020-05-01,"% Black
race",2.0,2.2,0.004175859345833121,0.002358912615742131,0.005992806075924112
8,2020-05-01,"Population
density",3.0,3.2,-0.0025301872952822745,-0.004298471054141471,-0.000761903536423078
9,2020-05-01,"Radius of
Gyration",4.0,4.2,-0.002485663331940035,-0.004295138272541461,-0.0006761883913386087
10,2020-12-01,"% Public
transport",0.0,0.4,-0.005344215185500219,-0.006836216215615011,-0.003852214155385427
11,2020-12-01,% Age 25-64,1.0,1.4,-0.001727382417899714,-0.0033087101705303475,-0.00014605466526908034
12,2020-12-01,"% Black
race",2.0,2.4,0.0025222518727971996,0.0006724960138652693,0.00437200773172913
13,2020-12-01,"Population
density",3.0,3.4,-0.004155298172586017,-0.005955512339041063,-0.00235508400613097
14,2020-12-01,"Radius of
Gyration",4.0,4.4,-0.003825559226462167,-0.005667708375656198,-0.001983410077268136
15,2021-01-01,"% Public
transport",0.0,0.6000000000000001,-0.004491413232258949,-0.00614745901732973,-0.0028353674471881677
16,2021-01-01,% Age 25-64,1.0,1.6,-0.001979748927050612,-0.003734942862377808,-0.00022455499172341613
17,2021-01-01,"% Black
race",2.0,2.6,0.0034999271679087914,0.0014467915924202663,0.005553062743397317
18,2021-01-01,"Population
density",3.0,3.6,-0.0021657635439135776,-0.004163910343016806,-0.00016761674481034989
19,2021-01-01,"Radius of
Gyration",4.0,4.6,-0.0007977421032685492,-0.0028424346151495806,0.001246950408612482
