,t,lab,val
0,0.0,d_res,0.5003409066779386
1,1.0,d_res,0.5059483860517022
2,2.0,d_res,0.5115290915258486
3,3.0,d_res,0.5100102070285255
4,4.0,d_res,0.5143981279616915
5,5.0,d_res,0.5141494331285068
6,6.0,d_res,0.5167232929533843
7,7.0,d_res,0.518263929870921
8,8.0,d_res,0.5155627742709994
9,9.0,d_res,0.51534866786842
10,10.0,d_res,0.5149589173746656
11,11.0,d_res,0.5152994028925579
12,12.0,d_res,0.5040943165873518
13,13.0,d_res,0.5054116878435263
14,14.0,d_res,0.4920026101299856
15,15.0,d_res,0.4187289954019162
16,16.0,d_res,0.44924102365578406
17,17.0,d_res,0.45693232755848845
18,18.0,d_res,0.45383699122854837
19,19.0,d_res,0.45486620983014375
20,20.0,d_res,0.453579262353069
21,21.0,d_res,0.45245239668714854
22,22.0,d_res,0.44918757615790234
23,23.0,d_res,0.4431823782195686
24,24.0,d_res,0.42812458312889556
25,25.0,d_res,0.42959724853291076
26,26.0,d_res,0.44201838927447273
27,27.0,d_res,0.4440350809030343
28,28.0,d_res,0.4493217632045546
29,29.0,d_res,0.4517692191634598
30,30.0,d_res,0.458763265605862
31,31.0,d_res,0.46908567118447486
32,32.0,d_res,0.4711059340611204
33,33.0,d_res,0.4708786490425535
34,34.0,d_res,0.4751407553115757
35,35.0,d_res,0.47540161346559745
36,0.0,d_mob,0.0024495749627798102
37,1.0,d_mob,0.00228608118436302
38,2.0,d_mob,0.0023571831987940772
39,3.0,d_mob,0.002220236815461074
40,4.0,d_mob,0.0021918094049255266
41,5.0,d_mob,0.0020902020490154065
42,6.0,d_mob,0.0022559206895372643
43,7.0,d_mob,0.002655188043629501
44,8.0,d_mob,0.002768541324091822
45,9.0,d_mob,0.0032471515176586787
46,10.0,d_mob,0.0030187377877194757
47,11.0,d_mob,0.002878610858777682
48,12.0,d_mob,0.004858714286077093
49,13.0,d_mob,0.0033489974993669938
50,14.0,d_mob,0.0032433592586493254
51,15.0,d_mob,0.010599560595099792
52,16.0,d_mob,0.007692964813903672
53,17.0,d_mob,0.005006013220313928
54,18.0,d_mob,0.004804159413654641
55,19.0,d_mob,0.0048564381776632914
56,20.0,d_mob,0.0037543103710029517
57,21.0,d_mob,0.004537099189475331
58,22.0,d_mob,0.0048526985766464414
59,23.0,d_mob,0.005978286287984672
60,24.0,d_mob,0.008109435293701301
61,25.0,d_mob,0.005181080086310444
62,26.0,d_mob,0.005003859102412392
63,27.0,d_mob,0.0034135350295177074
64,28.0,d_mob,0.0030848881011672673
65,29.0,d_mob,0.0030181175731041066
66,30.0,d_mob,0.0028605439151500045
67,31.0,d_mob,0.0028496036622925693
68,32.0,d_mob,0.003105807870221966
69,33.0,d_mob,0.0033451671942517636
70,34.0,d_mob,0.003061068468997378
71,35.0,d_mob,0.0032956862544757195
72,0.0,d_cat,0.20937638784431023
73,1.0,d_cat,0.20961829057465559
74,2.0,d_cat,0.20966445694811797
75,3.0,d_cat,0.21279606389839256
76,4.0,d_cat,0.21872479412297963
77,5.0,d_cat,0.21602750142345378
78,6.0,d_cat,0.21528829856001702
79,7.0,d_cat,0.21992006258849053
80,8.0,d_cat,0.21783181242383926
81,9.0,d_cat,0.2128372467061345
82,10.0,d_cat,0.2126541829857736
83,11.0,d_cat,0.21456796879581125
84,12.0,d_cat,0.22540289485800835
85,13.0,d_cat,0.208836391857555
86,14.0,d_cat,0.1860081860333319
87,15.0,d_cat,0.16792652408868905
88,16.0,d_cat,0.19023449809522988
89,17.0,d_cat,0.1967067117427948
90,18.0,d_cat,0.2025893689682461
91,19.0,d_cat,0.20189759854313694
92,20.0,d_cat,0.20402964353866443
93,21.0,d_cat,0.1977384796187449
94,22.0,d_cat,0.19670466544480453
95,23.0,d_cat,0.20545876672572438
96,24.0,d_cat,0.205349203279878
97,25.0,d_cat,0.20246097721019635
98,26.0,d_cat,0.207534577163079
99,27.0,d_cat,0.207618003942635
100,28.0,d_cat,0.21091898278236013
101,29.0,d_cat,0.2109494972197004
102,30.0,d_cat,0.20998780718268667
103,31.0,d_cat,0.20492360139072222
104,32.0,d_cat,0.19596751272945856
105,33.0,d_cat,0.18820542304084636
106,34.0,d_cat,0.18953685317998695
107,35.0,d_cat,0.18792583865078652
108,0.0,dd_res,0.03051323352480184
109,1.0,dd_res,0.07149279033084191
110,2.0,dd_res,0.10197858389228827
111,3.0,dd_res,0.17176004347555812
112,4.0,dd_res,0.17469296598119713
113,5.0,dd_res,0.10416700011976084
114,6.0,dd_res,0.10921338212526654
115,7.0,dd_res,0.12142631926908651
116,8.0,dd_res,0.11316584543757433
117,9.0,dd_res,0.09034610896912479
118,10.0,dd_res,0.1078007099578397
119,11.0,dd_res,0.14917202871072516
120,12.0,dd_res,0.16119908234417185
121,13.0,dd_res,0.10177304696047335
122,14.0,dd_res,0.11497322200197238
123,15.0,dd_res,0.1066415974760857
124,16.0,dd_res,0.10106382502608137
125,17.0,dd_res,0.1068016205897996
126,18.0,dd_res,0.09128440558136304
127,19.0,dd_res,0.09936029501253596
128,20.0,dd_res,0.09502458116808271
129,21.0,dd_res,0.08051250993977101
130,22.0,dd_res,0.09987616693112766
131,23.0,dd_res,0.0921074910626847
132,0.0,dd_mob,0.009090346244146508
133,1.0,dd_mob,0.003046782102507232
134,2.0,dd_mob,0.0036843007398485632
135,3.0,dd_mob,0.01996494731169997
136,4.0,dd_mob,0.020462010279594135
137,5.0,dd_mob,0.015316979025060979
138,6.0,dd_mob,0.013402094845138435
139,7.0,dd_mob,0.013280861768320587
140,8.0,dd_mob,0.007281798257794106
141,9.0,dd_mob,0.006357958098188824
142,10.0,dd_mob,0.010435751820044765
143,11.0,dd_mob,0.014825649092188548
144,12.0,dd_mob,0.01975016009859006
145,13.0,dd_mob,0.011528899065131881
146,14.0,dd_mob,0.010274377873709476
147,15.0,dd_mob,0.007574369621290933
148,16.0,dd_mob,0.006165846189385889
149,17.0,dd_mob,0.006062512308150099
150,18.0,dd_mob,0.005583000344569673
151,19.0,dd_mob,0.006187802740571402
152,20.0,dd_mob,0.006317434920842968
153,21.0,dd_mob,0.005786904536971523
154,22.0,dd_mob,0.006890969367447264
155,23.0,dd_mob,0.008178782153679823
156,0.0,dd_cat,0.02118852986009445
157,1.0,dd_cat,0.04585290957843705
158,2.0,dd_cat,0.0652312327110512
159,3.0,dd_cat,0.12037846483117433
160,4.0,dd_cat,0.11690484735722481
161,5.0,dd_cat,0.06590657428860099
162,6.0,dd_cat,0.07445198924739138
163,7.0,dd_cat,0.08558620296949712
164,8.0,dd_cat,0.0802558823793039
165,9.0,dd_cat,0.055826353308442746
166,10.0,dd_cat,0.0733488114030272
167,11.0,dd_cat,0.10641639884327549
168,12.0,dd_cat,0.1199590012096849
169,13.0,dd_cat,0.07004080312065247
170,14.0,dd_cat,0.08073685528297206
171,15.0,dd_cat,0.07703327715366498
172,16.0,dd_cat,0.0653989843216048
173,17.0,dd_cat,0.07071284841229498
174,18.0,dd_cat,0.06428192128163497
175,19.0,dd_cat,0.06049365398622719
176,20.0,dd_cat,0.054881506858960094
177,21.0,dd_cat,0.04438290428853993
178,22.0,dd_cat,0.05290682588034645
179,23.0,dd_cat,0.05215679298483431
