2021-10-01_diff,num,color,index
18.295650133701997,0,cyan,Grocery Store
11.848901158983457,1,orange,Fast Food
6.009242667803535,2,orange,Donuts
4.7807087850167544,3,g,Big Box Store
2.8541706962073152,4,orange,Italian
-10.444515983510934,5,purple,Gym / Fitness
-13.029943455781543,6,purple,Gym
-14.974951240241348,7,cyan,Supermarket
-17.700590479206795,8,g,Hardware
-19.51300812936828,9,pink,Hospital
