2020-10-01_diff,num,color,index
69.90254880270685,0,cyan,Grocery Store
40.63420338603191,1,g,Hardware
34.96294565798382,2,g,Big Box Store
22.49387865392688,3,g,Department Store
22.102638115725686,4,cyan,Supermarket
-9.258707884229164,5,r,Residential
-16.3282624624024,6,pink,Hospital
-17.684147505031476,7,gray,Bar
-23.206322440029037,8,purple,Gym / Fitness
-26.82455505717213,9,purple,Gym
